txn_id,account_id,customer_id,txn_time,txn_type,amount,currency,channel,status,_ingest_ts
BTX000001,ACC00328,CUST00328,2026-04-01 05:25:11,credit,7391.07,INR,CHEQUE,SUCCESS,2026-04-28 04:37:54
BTX000002,ACC00017,CUST00017,2026-03-29 06:51:08,D,5656.33,INR,CHEQUE,SUCCESS,2026-04-28 04:37:54
BTX000003,ACC00302,CUST00302,2026-04-06 05:26:45,debit,3468.48,INR,,SUCCESS,2026-04-28 04:37:54
BTX000004,ACC00050,CUST00050,2026-04-09 16:16:10,DEBIT,5408.66,XXX,NEFT,SUCCESS,2026-04-28 04:37:54
BTX000005,ACC00322,CUST00322,2026-04-17 16:14:06,CR,6646.51,INR,NEFT,FAILED,2026-04-28 04:37:54
BTX000006,ACC00195,CUST00195,2026-04-06 19:18:47,Credit,3617.18,INR,NEFT,SUCCESS,2026-04-28 04:37:54
BTX000007,ACC00274,CUST00274,2026-04-21 11:48:23,Dr,9261.37,INR,ATM,SUCCESS,2026-04-28 04:37:54
BTX000008,ACC00394,CUST00394,2026-04-22 05:52:46,DEBIT,46104.83,INR,INTERNET_BANKING,FAILED,2026-04-28 04:37:54
BTX000009,ACC00203,CUST00203,2026-04-27 01:07:03,Debit,7475.39,,MOBILE_BANKING,SUCCESS,2026-04-28 04:37:54
BTX000010,ACC00113,CUST00113,2026-04-02 21:08:59,DEBIT,23755.72,INR,MOBILE_BANKING,SUCCESS,2026-04-28 04:37:54
BTX000011,ACC00196,CUST00196,2026-04-17 19:11:10,D,11033.29,INR,CHEQUE,PENDING,2026-04-28 04:37:54
BTX000012,ACC00175,CUST00175,2026-04-01 14:05:04,Cr,-2851.29,INR,CHEQUE,FAILED,2026-04-28 04:37:54
BTX000013,ACC00055,CUST00055,2026-04-26 00:57:47,DB,2069.22,INR,IMPS,SUCCESS,2026-04-28 04:37:54
BTX000014,ACC00473,CUST00473,2026-04-14 05:16:14,Cr,-801.92,INR,POS,FAILED,2026-04-28 04:37:54
BTX000015,ACC00450,CUST00450,2026-04-16 06:43:40,Cr,98018.6,INR,IMPS,FAILED,2026-04-28 04:37:54
BTX000016,ACC00485,CUST00485,2026-04-15 09:54:27,C,2196.8,INR,ATM,SUCCESS,2026-04-28 04:37:54
BTX000017,ACC00344,CUST00344,2026-04-18 16:06:51,D,2554.27,INR,UPI,SUCCESS,2026-04-28 04:37:54
BTX000018,ACC00302,CUST00302,2026-04-05 04:42:39,DB,767.26,INR,INTERNET_BANKING,SUCCESS,2026-04-28 04:37:54
BTX000019,ACC00143,CUST00143,2026-04-19 19:51:28,debit,8835.59,INR,ATM,SUCCESS,2026-04-28 04:37:54
BTX000020,ACC00098,CUST00098,2026-04-01 08:20:21,Credit,4723.54,INR,NEFT,SUCCESS,2026-04-28 04:37:54
BTX000021,ACC00174,CUST00174,2026-04-23 07:53:06,credit,1487.8,INR,BRANCH,FAILED,2026-04-28 04:37:54
BTX000022,ACC00039,CUST00039,2026-04-12 21:43:57,DB,434411.03,EUR,IMPS,SUCCESS,2026-04-28 04:37:54
BTX000023,ACC00110,CUST00110,2026-04-25 17:34:57,debit,9854.56,INR,BRANCH,PENDING,2026-04-28 04:37:54
BTX000024,ACC00491,CUST00491,2026-04-21 22:20:39,Cr,3037.41,USD,INTERNET_BANKING,SUCCESS,2026-04-28 04:37:54
BTX000025,ACC00245,CUST00245,2026-04-14 20:47:57,D,1939.67,INR,ATM,SUCCESS,2026-04-28 04:37:54
BTX000026,ACC00456,CUST00456,2026-04-16 12:15:32,DEBIT,4250.33,INR,CHEQUE,PENDING,2026-04-28 04:37:54
BTX000027,ACC00105,CUST00105,2026-04-20 02:58:09,Debit,6749.73,INR,INTERNET_BANKING,SUCCESS,2026-04-28 04:37:54
BTX000028,ACC00319,CUST00319,2026-04-16 07:42:28,credit,1411.32,INR,NEFT,FAILED,2026-04-28 04:37:54
BTX000029,ACC00081,CUST00081,2026-04-12 22:23:13,C,422839.98,INR,CHEQUE,PENDING,2026-04-28 04:37:54
BTX000030,ACC00054,,2026-04-28 08:54:01,CREDIT,23990.31,INR,ATM,SUCCESS,2026-04-28 04:37:54
BTX000031,ACC00352,CUST00352,2026-04-18 13:10:25,Debit,86149.33,INR,MOBILE_BANKING,PENDING,2026-04-28 04:37:54
BTX000032,ACC00171,CUST00171,2026-04-22 09:18:10,debit,59651.24,INR,UPI,SUCCESS,2026-04-28 04:37:54
BTX000033,ACC00453,CUST00453,2026-04-20 09:11:56,Credit,1566.13,INR,POS,PENDING,2026-04-28 04:37:54
BTX000034,ACC00408,CUST00408,2026-04-25 06:35:16,credit,6702.64,INR,CHEQUE,SUCCESS,2026-04-28 04:37:54
BTX000035,ACC00384,CUST00384,2026-04-02 12:33:04,debit,12230.77,INR,INTERNET_BANKING,SUCCESS,2026-04-28 04:37:54
BTX000036,ACC00443,CUST00443,2026-04-21 11:55:04,CR,8734.45,INR,ATM,FAILED,2026-04-28 04:37:54
BTX000037,ACC00236,CUST00236,2026-04-09 14:30:44,credit,6634.33,INR,POS,SUCCESS,2026-04-28 04:37:54
BTX000038,ACC00143,CUST00143,2026-04-10 01:10:19,DB,314486.29,USD,POS,FAILED,2026-04-28 04:37:54
BTX000039,ACC00136,CUST00136,2026-03-30 08:16:21,Credit,3205.41,INR,CHEQUE,SUCCESS,2026-04-28 04:37:54
BTX000040,ACC00296,CUST00296,2026-04-04 12:40:39,Dr,-836.81,INR,ATM,PENDING,2026-04-28 04:37:54
BTX000041,ACC00486,CUST00486,2026-04-19 15:17:14,DB,74777.88,INR,POS,SUCCESS,2026-04-28 04:37:54
BTX000042,ACC00207,CUST00207,2026-04-20 14:13:02,credit,9409.6,INR,IMPS,SUCCESS,2026-04-28 04:37:54
BTX000043,ACC00208,CUST00208,2026-04-15 04:57:12,credit,5841.85,INR,BRANCH,SUCCESS,2026-04-28 04:37:54
BTX000044,ACC00110,CUST00110,2026-04-14 20:28:51,CR,939.48,INR,INTERNET_BANKING,SUCCESS,2026-04-28 04:37:54
BTX000045,ACC00385,CUST00385,2026-04-06 01:57:08,credit,557.52,USD,BRANCH,SUCCESS,2026-04-28 04:37:54
BTX000046,ACC00295,CUST00295,2026-04-05 03:22:18,Cr,1560.96,INR,NEFT,SUCCESS,2026-04-28 04:37:54
BTX000047,ACC00412,CUST00412,2026-04-29 03:11:23,DEBIT,9182.95,INR,IMPS,SUCCESS,2026-04-28 04:37:54
BTX000048,ACC00287,CUST00287,2026-04-17 15:26:51,Cr,7220.81,INR,CHEQUE,SUCCESS,2026-04-28 04:37:54
BTX000049,ACC00381,CUST00381,2026-04-25 20:06:10,credit,34958.02,INR,BRANCH,SUCCESS,2026-04-28 04:37:54
BTX000050,ACC00226,CUST00226,2026-04-01 02:56:09,Debit,8940.97,INR,IMPS,FAILED,2026-04-28 04:37:54
BTX000051,ACC00079,CUST00079,2026-04-20 10:42:20,Dr,4712.65,INR,MOBILE_BANKING,SUCCESS,2026-04-28 04:37:54
BTX000052,ACC00300,CUST00300,2026-04-29 02:39:48,C,158.37,INR,MOBILE_BANKING,SUCCESS,2026-04-28 04:37:54
BTX000053,ACC00377,CUST00377,2026-04-16 00:35:08,Cr,4414.78,INR,INTERNET_BANKING,SUCCESS,2026-04-28 04:37:54
BTX000054,ACC00208,CUST00208,2026-04-21 10:31:23,debit,313649.45,USD,NEFT,SUCCESS,2026-04-28 04:37:54
BTX000055,ACC00444,CUST00444,2026-04-12 09:41:10,Dr,4601.52,INR,MOBILE_BANKING,PENDING,2026-04-28 04:37:54
BTX000056,ACC00426,CUST00426,2026-04-11 13:30:59,Cr,-4659.75,GBP,ATM,SUCCESS,2026-04-28 04:37:54
BTX000057,ACC00491,CUST00491,2026-04-18 06:25:55,credit,301.76,INR,IMPS,SUCCESS,2026-04-28 04:37:54
BTX000058,ACC00289,CUST00289,2026-04-28 11:07:38,Debit,25101.02,INR,NEFT,FAILED,2026-04-28 04:37:54
BTX000059,ACC00056,CUST00056,2026-04-16 05:37:13,C,9585.91,INR,ATM,SUCCESS,2026-04-28 04:37:54
BTX000060,ACC00426,CUST00426,2026-04-18 11:44:38,Debit,64037.05,INR,UPI,PENDING,2026-04-28 04:37:54
BTX000061,ACC00339,CUST00339,2026-04-09 07:10:35,Credit,-5841.42,INR,MOBILE_BANKING,PENDING,2026-04-28 04:37:54
BTX000062,ACC00425,CUST00425,2026-04-13 02:47:21,debit,96892.64,INR,CHEQUE,SUCCESS,2026-04-28 04:37:54
BTX000063,ACC00423,CUST00423,2026-04-21 22:55:14,credit,17799.66,INR,ATM,SUCCESS,2026-04-28 04:37:54
BTX000064,ACC00343,CUST00343,2026-04-10 14:39:25,Credit,2199.99,INR,INTERNET_BANKING,PENDING,2026-04-28 04:37:54
BTX000065,ACC00360,CUST00360,2026-04-26 13:12:54,D,134245.18,INR,BRANCH,SUCCESS,2026-04-28 04:37:54
BTX000066,ACC00354,CUST00354,2026-04-14 01:23:25,Cr,18374.8,INR,ATM,PENDING,2026-04-28 04:37:54
BTX000067,ACC00189,CUST00189,2026-04-13 22:11:16,Dr,320155.39,INR,BRANCH,PENDING,2026-04-28 04:37:54
BTX000068,ACC00119,CUST00119,2026-04-02 03:50:14,CREDIT,95578.98,INR,ATM,FAILED,2026-04-28 04:37:54
BTX000069,ACC00142,CUST00142,2026-04-21 23:26:27,C,1095.21,INR,ATM,PENDING,2026-04-28 04:37:54
BTX000070,ACC00008,CUST00008,2026-04-20 21:46:11,DEBIT,321343.59,INR,IMPS,SUCCESS,2026-04-28 04:37:54
BTX000071,ACC00252,CUST00252,2026-04-01 05:14:12,Cr,3472.99,GBP,BRANCH,SUCCESS,2026-04-28 04:37:54
BTX000072,ACC00206,CUST00206,2026-04-13 07:14:34,DB,1577.06,INR,POS,SUCCESS,2026-04-28 04:37:54
BTX000073,ACC00061,CUST00061,2026-04-15 18:16:32,C,5273.47,INR,BRANCH,PENDING,2026-04-28 04:37:54
BTX000074,ACC00220,CUST00220,2026-04-07 23:16:57,C,139693.43,INR,ATM,PENDING,2026-04-28 04:37:54
BTX000075,ACC00081,CUST00081,2026-04-05 10:12:58,debit,-5540.01,INR,POS,SUCCESS,2026-04-28 04:37:54
BTX000076,ACC00362,CUST00362,2026-04-08 03:33:23,CREDIT,9246.72,INR,ATM,SUCCESS,2026-04-28 04:37:54
BTX000077,ACC00116,CUST00116,2026-04-18 09:36:11,debit,1742.64,INR,POS,SUCCESS,2026-04-28 04:37:54
BTX000078,ACC00353,CUST00353,2026-04-08 03:03:11,D,4433.81,INR,MOBILE_BANKING,SUCCESS,2026-04-28 04:37:54
BTX000079,ACC00129,CUST00129,2026-03-29 06:52:37,C,305.38,INR,POS,SUCCESS,2026-04-28 04:37:54
BTX000080,ACC00388,CUST00388,2026-04-03 20:11:35,Cr,26334.02,INR,BRANCH,SUCCESS,2026-04-28 04:37:54
BTX000081,ACC00210,CUST00210,2026-04-08 15:20:00,debit,6967.37,INR,MOBILE_BANKING,SUCCESS,2026-04-28 04:37:54
