txn_id,account_id,customer_id,txn_time,txn_type,amount,currency,channel,status,_ingest_ts
ITX000001,ACC00162,CUST00162,2026-05-06 18:33:31,Credit,81109.49,INR,ATM,SUCCESS,2026-04-28 04:37:54
ITX000002,ACC00009,CUST00009,2026-05-11 17:36:05,DEBIT,8174.25,XXX,BRANCH,SUCCESS,2026-04-28 04:37:54
ITX000003,ACC00463,CUST00463,2026-05-19 06:05:21,DB,2759.86,INR,MOBILE_BANKING,PENDING,2026-04-28 04:37:54
ITX000004,ACC00045,CUST00045,2026-05-19 07:23:47,credit,100634.26,INR,INTERNET_BANKING,SUCCESS,2026-04-28 04:37:54
ITX000005,ACC00419,CUST00419,2026-05-26 22:55:43,C,5275.65,INR,CHEQUE,FAILED,2026-04-28 04:37:54
ITX000006,ACC00281,CUST00281,2026-05-03 14:13:03,Dr,5717.93,INR,IMPS,SUCCESS,2026-04-28 04:37:54
ITX000007,ACC00402,CUST00402,2026-04-27 20:52:28,Dr,5248.39,INR,NEFT,SUCCESS,2026-04-28 04:37:54
ITX000008,ACC00350,CUST00350,2026-05-19 01:09:44,C,403.29,INR,MOBILE_BANKING,FAILED,2026-04-28 04:37:54
ITX000009,ACC00433,CUST00433,2026-04-29 23:07:51,Dr,0.0,INR,IMPS,SUCCESS,2026-04-28 04:37:54
ITX000010,ACC00068,CUST00068,2026-05-11 03:26:16,Cr,66795.38,INR,IMPS,SUCCESS,2026-04-28 04:37:54
ITX000011,ACC00041,CUST00041,2026-05-14 05:26:51,C,1478.08,INR,BRANCH,PENDING,2026-04-28 04:37:54
ITX000012,ACC00161,CUST00161,2026-05-27 08:07:25,Cr,993.1,INR,BRANCH,PENDING,2026-04-28 04:37:54
ITX000013,ACC00095,CUST00095,2026-05-22 06:44:28,DB,68048.29,INR,NEFT,SUCCESS,2026-04-28 04:37:54
ITX000014,ACC00207,CUST00207,2026-05-27 09:05:11,debit,6071.27,INR,CHEQUE,SUCCESS,2026-04-28 04:37:54
ITX000015,ACC00028,CUST00028,2026-05-23 03:34:52,Debit,3727.77,USD,CHEQUE,PENDING,2026-04-28 04:37:54
ITX000016,ACC00191,CUST00191,2026-05-12 05:58:21,D,8464.73,INR,INTERNET_BANKING,SUCCESS,2026-04-28 04:37:54
ITX000017,ACC00364,CUST00364,2026-05-15 05:23:57,CREDIT,2273.62,INR,INTERNET_BANKING,SUCCESS,2026-04-28 04:37:54
ITX000018,ACC00028,CUST00028,2026-05-11 09:51:46,debit,8658.72,EUR,CHEQUE,SUCCESS,2026-04-28 04:37:54
ITX000019,ACC00370,CUST00370,2026-05-25 12:37:57,CREDIT,6554.3,EUR,IMPS,SUCCESS,2026-04-28 04:37:54
ITX000020,ACC00232,CUST00232,2026-05-04 06:46:20,CREDIT,9346.21,GBP,UPI,SUCCESS,2026-04-28 04:37:54
ITX000021,ACC00403,CUST00403,2026-05-08 22:19:38,DEBIT,5786.17,EUR,BRANCH,SUCCESS,2026-04-28 04:37:54
ITX000022,ACC00337,CUST00337,2026-04-29 14:49:21,CREDIT,13925.76,INR,BRANCH,SUCCESS,2026-04-28 04:37:54
ITX000023,ACC00070,CUST00070,2026-05-03 05:40:23,CREDIT,63428.36,INR,UPI,SUCCESS,2026-04-28 04:37:54
ITX000024,ACC00359,CUST00359,2026-05-24 00:43:50,D,3191.36,INR,POS,FAILED,2026-04-28 04:37:54
ITX000025,ACC00073,CUST00073,2026-05-22 23:11:23,Dr,5773.54,INR,MOBILE_BANKING,PENDING,2026-04-28 04:37:54
ITX000026,ACC00132,CUST00132,2026-05-05 20:27:01,Dr,17928.17,INR,CHEQUE,FAILED,2026-04-28 04:37:54
ITX000027,ACC00104,CUST00104,2026-05-22 14:29:28,CREDIT,7728.07,INR,UPI,PENDING,2026-04-28 04:37:54
ITX000028,ACC00079,CUST00079,2026-05-08 22:20:33,Dr,1913.44,INR,POS,FAILED,2026-04-28 04:37:54
ITX000029,ACC00402,CUST00402,2026-05-23 04:01:22,Debit,8824.96,INR,IMPS,SUCCESS,2026-04-28 04:37:54
ITX000030,ACC00208,CUST00208,2026-05-24 13:12:21,DEBIT,50302.42,INR,ATM,SUCCESS,2026-04-28 04:37:54
ITX000031,ACC00457,CUST00457,2026-05-06 22:10:06,D,1851.08,INR,MOBILE_BANKING,SUCCESS,2026-04-28 04:37:54
ITX000032,ACC00153,CUST00153,2026-05-09 09:11:57,Credit,4510.61,INR,POS,SUCCESS,2026-04-28 04:37:54
ITX000033,ACC00185,CUST00185,2026-05-11 23:59:16,CREDIT,4030.95,INR,IMPS,SUCCESS,2026-04-28 04:37:54
ITX000034,ACC00305,CUST00305,2026-04-28 22:37:15,Credit,4984.51,INR,UPI,SUCCESS,2026-04-28 04:37:54
ITX000035,ACC00053,CUST00053,2026-05-25 11:43:59,CREDIT,5124.35,INR,UPI,FAILED,2026-04-28 04:37:54
ITX000036,ACC00152,CUST00152,2026-05-19 19:21:18,DEBIT,1853.76,INR,MOBILE_BANKING,SUCCESS,2026-04-28 04:37:54
ITX000037,ACC00471,CUST00471,2026-05-04 15:30:52,Debit,923.26,INR,UPI,SUCCESS,2026-04-28 04:37:54
ITX000038,ACC00094,CUST00094,2026-05-11 15:28:44,C,9623.59,INR,MOBILE_BANKING,SUCCESS,2026-04-28 04:37:54
ITX000039,ACC00041,CUST00041,2026-05-07 07:59:07,CR,462602.24,INR,POS,SUCCESS,2026-04-28 04:37:54
ITX000040,ACC00317,,2026-05-07 06:06:12,DEBIT,296925.08,INR,ATM,FAILED,2026-04-28 04:37:54
ITX000041,ACC00282,CUST00282,2026-04-28 16:23:41,C,6474.74,USD,UPI,SUCCESS,2026-04-28 04:37:54
ITX000042,ACC00148,CUST00148,2026-05-28 02:17:07,Debit,11098.43,INR,NEFT,SUCCESS,2026-04-28 04:37:54
ITX000043,ACC00065,CUST00065,2026-05-27 06:34:07,Dr,6154.59,GBP,NEFT,SUCCESS,2026-04-28 04:37:54
ITX000044,ACC00321,CUST00321,2026-05-16 07:52:35,Credit,65493.95,INR,CHEQUE,PENDING,2026-04-28 04:37:54
ITX000045,ACC00385,CUST00385,2026-05-04 16:21:30,Credit,3677.33,,UPI,SUCCESS,2026-04-28 04:37:54
ITX000046,ACC00292,CUST00292,2026-05-27 22:38:35,DEBIT,4341.88,USD,,SUCCESS,2026-04-28 04:37:54
ITX000047,ACC00225,CUST00225,2026-05-12 12:40:43,CR,99650.43,INR,IMPS,SUCCESS,2026-04-28 04:37:54
ITX000048,ACC00112,CUST00112,2026-05-18 11:14:48,Debit,7019.0,EUR,UPI,SUCCESS,2026-04-28 04:37:54
ITX000049,ACC00235,CUST00235,2026-05-09 09:59:14,DEBIT,6365.54,INR,NEFT,SUCCESS,2026-04-28 04:37:54
ITX000050,ACC00195,CUST00195,2026-05-07 12:46:51,Dr,1147.1,INR,IMPS,SUCCESS,2026-04-28 04:37:54
ITX000051,ACC00096,CUST00096,2026-05-18 23:22:43,debit,2291.09,INR,NEFT,SUCCESS,2026-04-28 04:37:54
ITX000052,ACC00404,CUST00404,2026-04-28 22:40:35,Dr,14175.54,INR,CHEQUE,SUCCESS,2026-04-28 04:37:54
ITX000053,ACC00262,CUST00262,2026-05-05 11:38:03,CREDIT,3986.56,INR,IMPS,SUCCESS,2026-04-28 04:37:54
ITX000054,ACC00145,CUST00145,2026-05-26 01:59:53,Cr,8776.93,INR,CHEQUE,SUCCESS,2026-04-28 04:37:54
ITX000055,ACC00290,CUST00290,2026-05-24 09:43:04,C,79395.94,INR,MOBILE_BANKING,SUCCESS,2026-04-28 04:37:54
ITX000056,ACC00432,CUST00432,2026-05-04 18:20:45,debit,89626.99,INR,INTERNET_BANKING,PENDING,2026-04-28 04:37:54
ITX000057,ACC00040,CUST00040,2026-05-05 19:07:50,DEBIT,1348.22,USD,NEFT,PENDING,2026-04-28 04:37:54
ITX000058,ACC00116,CUST00116,2026-05-19 21:38:05,credit,9578.61,INR,IMPS,SUCCESS,2026-04-28 04:37:54
ITX000059,ACC00467,CUST00467,2026-05-13 08:11:30,Cr,6895.31,INR,MOBILE_BANKING,SUCCESS,2026-04-28 04:37:54
ITX000060,ACC00258,CUST00258,2026-05-10 11:12:17,Credit,907.38,INR,INTERNET_BANKING,SUCCESS,2026-04-28 04:37:54
ITX000061,ACC00354,CUST00354,2026-05-12 10:23:38,CREDIT,5215.96,INR,INTERNET_BANKING,FAILED,2026-04-28 04:37:54
